species,seasonStart,seasonEnd,subspecies,antlered,regionId,weaponType,controlled,state
deer,10-10-2020,12-1-2020,whitetail,TRUE,12-001-00,any,FALSE,Idaho
deer,11-1-2020,11-20-2020,mule,TRUE,12-001-00,any,FALSE,Idaho
deer,10-10-2020,12-1-2020,whitetail,FALSE,12-001-00,any,FALSE,Idaho
deer,10-10-2020,11-9-2020,,TRUE,12-002-00,any,FALSE,Idaho
deer,11-10-2020,12-1-2020,whitetail,TRUE,12-002-00,any,FALSE,Idaho
deer,10-10-2020,12-1-2020,whitetail,FALSE,12-002-00,any,FALSE,Idaho
deer,10-10-2020,11-9-2020,,TRUE,12-003-00,any,FALSE,Idaho
deer,11-10-2020,12-1-2020,whitetail,TRUE,12-003-00,any,FALSE,Idaho
deer,10-10-2020,12-1-2020,whitetail,FALSE,12-003-00,any,FALSE,Idaho
deer,10-10-2020,11-9-2020,,TRUE,12-004-01,any,FALSE,Idaho
deer,11-10-2020,12-1-2020,whitetail,TRUE,12-004-01,any,FALSE,Idaho
deer,10-10-2020,12-1-2020,whitetail,FALSE,12-004-01,any,FALSE,Idaho
deer,10-10-2020,11-9-2020,,TRUE,12-005-00,any,FALSE,Idaho
deer,11-10-2020,12-1-2020,whitetail,TRUE,12-005-00,any,FALSE,Idaho
deer,10-10-2020,12-1-2020,whitetail,FALSE,12-005-00,any,FALSE,Idaho
deer,10-10-2020,11-9-2020,,TRUE,12-006-00,any,FALSE,Idaho
deer,11-10-2020,12-1-2020,whitetail,TRUE,12-006-00,any,FALSE,Idaho
deer,10-10-2020,12-1-2020,whitetail,FALSE,12-006-00,any,FALSE,Idaho